name_icelandic,name_english,tag_icelandic,tag_english,url,domain
Stafrænt Ísland,Digital Iceland,,,https://island.is/adstod,island.is
Heilsugæsla höfuðborgarsvæðisins,Primary Health Care of the Capital Area,,,https://www.heilsugaeslan.is/,heilsugaeslan.is
Borgarholtsskóli,Borgarholtsskóli - Comprehensive Secondary School,,,https://www.bhs.is/,bhs.is
Múlaþing,Múlaþing,,,https://www.mulathing.is/,mulathing.is
Persónuvernd,Data Protection Authority,,,https://www.personuvernd.is/,personuvernd.is
Skagafjörður,Sveitarfélagið Skagafjörður,,,https://www.skagafjordur.is/,skagafjordur.is
Héraðsdómstólar,District Court of Iceland,,,https://www.heradsdomstolar.is/,heradsdomstolar.is
Hæstiréttur Íslands,Supreme Court of Iceland,,,https://www.haestirettur.is/,haestirettur.is
Landsréttur,Court of Appeal,,,https://landsrettur.is/,landsrettur.is
Verkmenntaskólinn á Akureyri,Akureyri Comprehensive College,,,https://www.vma.is/,vma.is
Miðstöð menntunar og skólaþjónustu,Directorate of Education and School Services,,,https://island.is/s/midstod-menntunar-og-skolathjonustu,island.is
Úrvinnslusjóður,Icelandic Recycling Fund,,,https://www.urvinnslusjodur.is/,urvinnslusjodur.is
Húnaþing vestra,Húnaþing vestra,,,https://www.hunathing.is/,hunathing.is
Héraðssaksóknari,District Prosecutor,,,https://www.hersak.is/,hersak.is
Barna- og fjölskyldustofa,The National Agency for Children and Families,,,http://www.bofs.is/,bofs.is
Sýslumenn,District Commissioners,,,https://island.is/s/syslumenn,island.is
Sjúkratryggingar,Iceland Health,,,https://island.is/s/sjukratryggingar,island.is
Sjúkrahúsið á Akureyri,Akureyri Hospital,,,https://www.sak.is/,sak.is
Embætti landlæknis,Directorate of Health,,,http://www.landlaeknir.is,landlaeknir.is
Náttúruhamfaratrygging Íslands,Natural Catastrophe Insurance of Iceland,,,https://nti.is/,nti.is
Landskjörstjórn,,,,http://www.landskjor.is/,landskjor.is
Ríkissaksóknari,Director of Public Prosecution,,,https://www.rikissaksoknari.is/,rikissaksoknari.is
Gæða- og eftirlitsstofnun velferðarmála,Quality and Supervisory Authority for Welfare,,,https://gev.is,gev.is
Geislavarnir ríkisins,Icelandic Radiation Safety Authoroty,,,https://gr.is/,gr.is
Heilbrigðisstofnun Norðurlands,The Health Care Institution of North Iceland,,,https://island.is/s/hsn,island.is
Heilbrigðisstofnun Suðurlands,The Health Care Institution of South Iceland,,,https://www.hsu.is/,hsu.is
Ríkislögmaður,Office of the Attorney General (Civil affairs),,,https://www.rikislogmadur.is/,rikislogmadur.is
Heilbrigðisstofnun Austurlands,The Healthcare Institution of East Iceland,,,,
Vísindasiðanefnd,The National Bioethics Committee,,,http://www.vsn.is/,vsn.is
Reykjavíkurborg,Reykjavikurborg,,,https://reykjavik.is/,reykjavik.is
Kvennaskólinn í Reykjavík,Kvennaskólinn í Reykjavík - Upper-Secondary School,,,https://www.kvenno.is/,kvenno.is
Kópavogsbær,Kópavogsbær,,,https://www.kopavogur.is/,kopavogur.is
Kjósarhreppur,Kjósarhreppur,,,https://www.kjos.is/,kjos.is
Íslenskar orkurannsóknir,Iceland GeoSurvey,,,https://www.isor.is/,isor.is
Ísafjarðarbær,Ísafjarðarbær,,,https://www.isafjordur.is/is,isafjordur.is
Innviðaráðuneytið,Ministry of Infrastructure,,,https://www.stjornarradid.is/raduneyti/innvidaraduneytid/,stjornarradid.is
Sýslumaðurinn í Vestmannaeyjum,District Commissioner of Westman Islands,,,https://island.is/s/syslumenn/vestmannaeyjar,island.is
Sýslumaðurinn á Vestfjörðum,District Commissioner of West Fjords Iceland,,,https://island.is/s/syslumenn/vestfirdir,island.is
Sýslumaðurinn á Suðurnesjum,District Commissioner of Suðurnes District,,,https://island.is/s/syslumenn/sudurnes,island.is
Sýslumaðurinn á Suðurlandi,District Commissioner of South Iceland,,,https://island.is/s/syslumenn/sudurland,island.is
Sýslumaðurinn á Norðurlandi vestra,District Commissioner of North West Iceland,,,https://island.is/s/syslumenn/nordurland-vestra,island.is
Sýslumaðurinn á Norðurlandi eystra,District Commissioner of Northeast Iceland,,,https://island.is/s/syslumenn/nordurland-eystra,island.is
Sýslumaðurinn á Austurlandi,District Commissioner of East Iceland,,,https://island.is/s/syslumenn/austurland,island.is
Sýslumaðurinn á höfuðborgarsvæðinu,District Commissioner of Greater Reykjavik,,,https://island.is/s/syslumenn/hofudborgarsvaedid,island.is
Hugverkastofan,The Icelandic Intellectual Property Office,,,https://www.hugverk.is/,hugverk.is
Heyrnar- og talmeinastöð Íslands,Hearing and Speech Institute of Iceland,,,https://hti.is/,hti.is
Héraðsdómur Vesturlands,District Court of West Iceland,,,https://heradsdomstolar.is/heradsdomstolar/vesturland/yfirlit/,heradsdomstolar.is
Héraðsdómur Vestfjarða,District Court of the Westfjords,,,https://heradsdomstolar.is/heradsdomstolar/vestfirdir/yfirlit/,heradsdomstolar.is
Héraðsdómur Suðurlands,District Court of South Iceland,,,https://heradsdomstolar.is/heradsdomstolar/sudurland/yfirlit/,heradsdomstolar.is
Héraðsdómur Reykjavíkur,District Court of Reykjavik,,,https://heradsdomstolar.is/heradsdomstolar/reykjavik/yfirlit/,heradsdomstolar.is
Héraðsdómur Reykjaness,District Court of Reykjanes,,,https://heradsdomstolar.is/heradsdomstolar/reykjanes/yfirlit/,heradsdomstolar.is
Héraðsdómur Norðurlands vestra,District Court of Northwest Iceland,,,https://heradsdomstolar.is/heradsdomstolar/nordurland-vestra/yfirlit/,heradsdomstolar.is
Héraðsdómur Norðurlands eystra,District Court of Northeast Iceland,,,https://heradsdomstolar.is/heradsdomstolar/nordurland-eystra/yfirlit/,heradsdomstolar.is
Héraðsdómur Austurlands,District Court of East Iceland,,,https://heradsdomstolar.is/heradsdomstolar/austurland/yfirlit/,heradsdomstolar.is
Heilbrigðisstofnun Vestfjarða,The Health Care Instiution of Westfjordur,,,http://hvest.is/,hvest.is
Heilbrigðisráðuneytið,Ministry of Health,,,https://www.stjornarradid.is/raduneyti/heilbrigdisraduneytid/,stjornarradid.is
Háskólinn á Hólum,Hólar University College,,,http://holar.is/,holar.is
Háskólinn á Akureyri,University of Akureyri,,,https://www.unak.is/,unak.is
Háskóli Íslands,University of Iceland,,,https://www.hi.is/,hi.is
Hagstofa Íslands,Statistics Iceland,,,https://hagstofa.is/,hagstofa.is
Hafnarfjarðarbær,Hafnarfjarðarbær,,,https://www.hafnarfjordur.is/,hafnarfjordur.is
Landbúnaðarháskóli Íslands,Agricultural University of Iceland,,,http://www.lbhi.is/,lbhi.is
Grindavíkurbær,Grindavík,,,https://www.grindavik.is/,grindavik.is
Garðabær,Garðabær,,,https://www.gardabaer.is/,gardabaer.is
Framhaldsskólinn í Vestmannaeyjum,Vestmannaeyjar College,,,https://www.fiv.is/,fiv.is
Framhaldsskólinn í Mosfellsbæ,College of Mosfellsbær,,,https://www.fmos.is/,fmos.is
Framhaldsskólinn í Austur-Skaftafellssýslu,College of East Skaftafellssýsla,,,https://www.fas.is/,fas.is
Framhaldsskólinn á Laugum,College in Laugar,,,https://laugar.is/,laugar.is
Framhaldsskólinn á Húsavík,College in Húsavík,,,https://www.fsh.is/,fsh.is
Forsætisráðuneyti,Prime Minister's Office,,,https://www.stjornarradid.is/raduneyti/forsaetisraduneytid/,stjornarradid.is
Flensborgarskóli,Flensborg Upper-Secondary School,,,http://flensborg.is/,flensborg.is
Fjölbrautaskólinn í Garðabæ,Gardabaer Comprehensive Secondary School,,,https://www.fg.is/,fg.is
Fjölbrautaskólinn í Breiðholti,Breidholt College,,,https://www.fb.is/,fb.is
Fjölbrautaskólinn við Ármúla,Ármúli ­Comprehensive Secondary School,,,https://www.fa.is/,fa.is
Fjölbrautaskóli Vesturlands,Comprehensive Secondary School of West Iceland,,,https://www.fva.is/,fva.is
Fjölbrautaskóli Suðurnesja,Suðurnes Comprehensive College,,,https://www.fss.is/,fss.is
Fjölbrautaskóli Suðurlands,South Iceland College,,,https://www.fsu.is/,fsu.is
Fjölbrautaskóli Snæfellinga,Snæfell Comperhensive Secondary School,,,https://www.fsn.is/,fsn.is
Fjölbrautaskóli Norðurlands vestra,College of Northwest Iceland,,,https://www.fnv.is/,fnv.is
Fjármála- og efnahagsráðuneytið,Ministry of Finance and Economic Affairs,,,https://www.stjornarradid.is/raduneyti/fjarmala-og-efnahagsraduneytid/,stjornarradid.is
Fjarðabyggð,Fjarðabyggð,,,https://www.fjardabyggd.is/,fjardabyggd.is
Fjallabyggð,Fjallabyggð,,,https://www.fjallabyggd.is/,fjallabyggd.is
Fangelsismálastofnun,Prison and Probation Administration,,,https://www.fangelsi.is/,fangelsi.is
Dómsmálaráðuneytið,Ministry of Justice,,,https://www.stjornarradid.is/raduneyti/domsmalaraduneytid/,stjornarradid.is
Dalvíkurbyggð,Dalvíkurbyggð,,,https://www.dalvikurbyggd.is/,dalvikurbyggd.is
Byggðastofnun,The Icelandic Regional Development Institute,,,https://www.byggdastofnun.is/,byggdastofnun.is
Borgarbyggð,Borgarbyggð,,,https://www.borgarbyggd.is/,borgarbyggd.is
Akraneskaupstaður,Akraneskaupstaður,,,https://www.akranes.is/,akranes.is
Akureyrarbær,Akureyrarbær,,,https://www.akureyri.is/,akureyri.is
Reykhólahreppur,Reykhólahreppur,,,https://www.reykholar.is/,reykholar.is
Vopnafjarðarhreppur,Vopnafjarðarhreppur,,,https://vopnafjardarhreppur.is/,vopnafjardarhreppur.is
