name_icelandic,name_english,tag_icelandic,tag_english,url,domain,final_url,final_domain,redirect_count,redirect_codes,mx,ns,a,spf,hosting_asn,hosting_org,final_mx,final_ns,final_a,final_spf,final_hosting_asn,final_hosting_org,email_provider,dns_category,hosting_category,final_email_provider,final_dns_category,final_hosting_category,redirect_status
Framkvæmdasýslan - Ríkiseignir,The Government Property Agency,,,https://www.fsre.is/,fsre.is,,,0,,fsre-is.mail.protection.outlook.com,a.hysing.is; b.hysing.is; c.hysing.is,54.154.122.174,v=spf1 include:spf.protection.outlook.com a:smtp.homeed.is ip4:212.30.230.100/32 include:spf.hysing.is include:mail.zendesk.com -all,16509,AMAZON,,,,,,,Microsoft 365,Local (.is),AWS,,,,No redirect
Tryggingastofnun,Social Insurance Administration,,,https://www.tr.is/,tr.is,https://island.is:443/s/tryggingastofnun,island.is,3,301; 308; 307,tr-is.mail.protection.outlook.com,ns1.simnet.is; ns2.simnet.is; ns3.simnet.is; sigyn.tr.is,34.251.144.192; 54.77.239.177; 63.32.127.239,v=spf1 a:freyr.tr.is ip4:212.30.215.10 ip4:212.30.215.6 ip4:212.30.215.49 ip4:212.30.215.42 mx:tr.is include:spf.protection.outlook.com include:_spf.zenter.is -all,16509,AMAZON-DUB,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509.0,AMAZO-ZL4,Microsoft 365,Local (.is),AWS,Microsoft 365,AWS,Other,Internal .is redirect
Mannréttindastofnun Íslands,Icelandic Human Rights Institute,,,https://mannrettindi.is/,mannrettindi.is,,,0,,mannrettindi-is.mail.protection.outlook.com,ajay.ns.cloudflare.com; harlee.ns.cloudflare.com,104.21.25.118; 172.67.134.52,v=spf1 include:spf.protection.outlook.com -all,13335,CLOUDFLARENET,,,,,,,Microsoft 365,Cloudflare,Cloudflare,,,,No redirect
Hvalfjarðarsveit,Hvalfjörður Region,,,https://www.hvalfjardarsveit.is/,hvalfjardarsveit.is,,,0,,hvalfjardarsveit-is.mail.protection.outlook.com,ns0.1984.is; ns1.1984.is; ns1.1984hosting.com; ns2.1984.is; ns2.1984hosting.com,52.19.46.82,v=spf1 include:spf.protection.outlook.com ip4:213.167.147.220 ip4:185.27.36.87 include:_spf.email.stefna.is -all,16509,AMAZON-DUB,,,,,,,Microsoft 365,Local (.is),AWS,,,,No redirect
Stjórnarráð Íslands,Government of Iceland,,,https://www.stjornarradid.is/,stjornarradid.is,,,0,,funi.stjr.is; neisti.stjr.is,adel.ns.cloudflare.com; wesley.ns.cloudflare.com,8.47.69.2; 8.6.112.2,v=spf1 mx include:spf.protection.outlook.com -all,13335,LPL-141-CLOUD14-8-47-69,,,,,,,Microsoft 365,Cloudflare,Other,,,,No redirect
Alþingi,Parliament,,,https://www.althingi.is/,althingi.is,,,0,,althingi-is.mail.protection.outlook.com,ajay.ns.cloudflare.com; harlee.ns.cloudflare.com,8.47.69.2; 8.6.112.2,v=spf1 a:al-ex-01.althingi.is include:spf.protection.outlook.com include:servers.mcsv.net include:_spf.vist.is -all,13335,LPL-141-CLOUD14-8-47-69,,,,,,,Microsoft 365,Cloudflare,Other,,,,No redirect
Umbra - þjónustumiðstöð Stjórnarráðsins,Umbra - Government Offices Services,,,https://www.stjornarradid.is/raduneyti/umbra/,stjornarradid.is,,,0,,funi.stjr.is; neisti.stjr.is,adel.ns.cloudflare.com; wesley.ns.cloudflare.com,8.47.69.2; 8.6.112.2,v=spf1 mx include:spf.protection.outlook.com -all,13335,LPL-141-CLOUD14-8-47-69,,,,,,,Microsoft 365,Cloudflare,Other,,,,No redirect
"Menningar-, háskóla- og nýsköpunarráðuneyti","Ministry of Culture, Innovation and Higher Education",,,https://www.stjornarradid.is/raduneyti/menningar-nyskopunar-og-haskolaraduneytid/,stjornarradid.is,,,0,,funi.stjr.is; neisti.stjr.is,adel.ns.cloudflare.com; wesley.ns.cloudflare.com,8.47.69.2; 8.6.112.2,v=spf1 mx include:spf.protection.outlook.com -all,13335,LPL-141-CLOUD14-8-47-69,,,,,,,Microsoft 365,Cloudflare,Other,,,,No redirect
Samskiptamiðstöð heyrnarlausra og heyrnarskertra,The Communication Center for the Deaf and Hard of Hearing,,,https://shh.is/,shh.is,https://island.is:443/s/shh,island.is,3,301; 308; 307,shh-is.mail.protection.outlook.com,a.nethonnun.is; b.nethonnun.is; c.nethonnun.is; d.nethonnun.is,34.251.144.192; 54.77.239.177; 63.32.127.239,v=spf1 include:spf.protection.outlook.com a:mx0.premis.is a:mx1.premis.is a:mx2.premis.is include:mail.zendesk.com -all,16509,AMAZON-DUB,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509.0,AMAZO-ZL4,Microsoft 365,Local (.is),AWS,Microsoft 365,AWS,Other,Internal .is redirect
Fjársýslan,The Financial Management Authority,,,https://island.is/s/fjarsyslan,island.is,,,0,,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509,AMAZO-ZL4,,,,,,,Microsoft 365,AWS,Other,,,,No redirect
