name_icelandic,name_english,tag_icelandic,tag_english,url,domain,final_url,final_domain,redirect_count,redirect_codes,mx,ns,a,spf,hosting_asn,hosting_org,final_mx,final_ns,final_a,final_spf,final_hosting_asn,final_hosting_org,email_provider,dns_category,hosting_category,final_email_provider,final_dns_category,final_hosting_category,redirect_status
Skipulagsstofnun,National Planning Agency,,,https://www.skipulag.is/,skipulag.is,https://island.is:443/s/skipulagsstofnun,island.is,3,301; 308; 307,skipulag-is.mail.protection.outlook.com,ns1.okhysing.is; ns2.okhysing.is,34.251.144.192; 54.77.239.177; 63.32.127.239,v=spf1 ip4:94.142.153.198 ip4:94.142.152.5 include:spf.protection.outlook.com include:smtp.hugsmidjan.is include:skipulagsstofnun.is -all,16509,AMAZON-DUB,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509.0,AMAZO-ZL4,Microsoft 365,Local (.is),AWS,Microsoft 365,AWS,Other,Internal .is redirect
Hafrannsóknastofnun: rannsókna- og ráðgjafarstofnun hafs og vatna,Marine and Freshwater Research Institute,,,https://www.hafogvatn.is/,hafogvatn.is,,,0,,publicadministrationis.mail.protection.outlook.com,dvalinn.rhnet.is; hafdjup.hafro.is; hafgarpur.hafro.is; hafsjor.hafro.is,52.49.138.181,v=spf1 ip4:130.208.64.48 include:spf.protection.outlook.com include:_spf.email.stefna.is -all,16509,AMAZON-DUB,,,,,,,Microsoft 365,Local (.is),AWS,,,,No redirect
Þjóðskjalasafn Íslands,National Archives of Iceland,,,https://skjalasafn.is/,skjalasafn.is,https://island.is/s/thjodskjalasafn,island.is,1,301,skjalasafn-is.mail.protection.outlook.com,hazel.ns.cloudflare.com; nolan.ns.cloudflare.com,8.47.69.2; 8.6.112.2,v=spf1 a include:spf.protection.outlook.com include:spf.hysing.is -all,13335,LPL-141-CLOUD14-8-47-69,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509.0,AMAZO-ZL4,Microsoft 365,Cloudflare,Other,Microsoft 365,AWS,Other,Internal .is redirect
Þjóðminjasafn Íslands,National Museum of Iceland,,,https://www.thjodminjasafn.is/,thjodminjasafn.is,,,0,,thjodminjasafn-is.mail.protection.outlook.com,ns0.c.is; ns1.c.is; ns2.c.is,198.202.211.1,v=spf1 include:spf.protection.outlook.com include:spf.emailsignatures365.com include:mailgun.org -all,209242,WEBFL,,,,,,,Microsoft 365,Local (.is),Other,,,,No redirect
Þjóðleikhúsið,National Theatre of Iceland,,,https://leikhusid.is/,leikhusid.is,,,0,,leikhusid-is.mail.protection.outlook.com,dell.netvistun.is; dell2.netvistun.is,64.227.41.12,v=spf1 mx a:poston.manlink.net include:spf.protection.outlook.com include:_spf.vist.is include:mailgun.org include:spf.mandrillapp.com include:servers.mcsv.net include:_spf.smtp.com include:spf.surveymonkey.com -all,14061,DIGITALOCEAN-64-227-0-0,,,,,,,Microsoft 365,Local (.is),DigitalOcean,,,,No redirect
Sinfóníuhljómsveit Íslands,Iceland Symphony,,,https://www.sinfonia.is/,sinfonia.is,,,0,,sinfonia-is.mail.protection.outlook.com,ns01.t.is; ns02.t.is,52.209.81.188; 52.48.55.82,v=spf1 include:spf.protection.outlook.com ip4:217.28.176.106/31 ip4:80.248.30.97 include:cmail1.com include:_spf.zenter.is include:_spf.hugsmidjan.is include:servers.mcsv.net -all,16509,AMAZON-DUB,,,,,,,Microsoft 365,Local (.is),AWS,,,,No redirect
Samkeppniseftirlitið,Icelandic Competition Authority,,,https://www.samkeppni.is/,samkeppni.is,,,0,,samkeppni-is.mail.protection.outlook.com,ns-1213.awsdns-23.org; ns-1945.awsdns-51.co.uk; ns-3.awsdns-00.com; ns-774.awsdns-32.net,54.154.122.174,v=spf1 include:smtp.thekking.is ip4:213.220.104.138 include:_spf.hugsmidjan.is include:spf.protection.outlook.com -all,16509,AMAZON,,,,,,,Microsoft 365,AWS,AWS,,,,No redirect
Safnaráð,The Museum Council of Iceland,,,https://safnarad.is/,safnarad.is,,,0,,safnarad-is.mail.protection.outlook.com,ns0.1984.is; ns1.1984.is; ns1.1984hosting.com; ns2.1984.is; ns2.1984hosting.com,185.112.145.154,v=spf1 include:spf.protection.outlook.com -all,44925,THE-1984-CLOUD,,,,,,,Microsoft 365,Local (.is),Local (.is),,,,No redirect
Ríkisútvarpið ohf.,The Icelandic National Broadcasting Service,,,https://www.ruv.is/,ruv.is,,,0,,ruv-is.mail.protection.outlook.com,adrian.ns.cloudflare.com; igor.ns.cloudflare.com,8.47.69.2; 8.6.112.2,v=spf1 ip4:37.152.64.80 ip4:37.152.64.81 include:_spf.psm.knowbe4.com include:spf.protection.outlook.com ~all,13335,LPL-141-CLOUD14-8-47-69,,,,,,,Microsoft 365,Cloudflare,Other,,,,No redirect
Rannsóknamiðstöð Íslands,The Icelandic Centre for Research,,,https://www.rannis.is/,rannis.is,,,0,,rannis-is.mail.protection.outlook.com,ns1.thekking.is; ns2.thekking.is; ns4.thekking.is,54.154.122.174; 54.72.105.112,v=spf1 ip4:213.220.103.28 ip4:130.208.165.205 ip4:217.171.209.28 ip4:130.208.165.145 ip4:185.219.150.121 a:vefpostur.rannis.is include:_spf.gopro.net include:spf.protection.outlook.com ~all,16509,AMAZON,,,,,,,Microsoft 365,Local (.is),AWS,,,,No redirect
Náttúruminjasafn Íslands,Icelandic Museum of Natural History,,,https://nmsi.is/,nmsi.is,,,0,,nmsi-is.mail.protection.outlook.com,dell.netvistun.is; dell2.netvistun.is,178.248.20.131,v=spf1 a:mg.lausn.is include:spf.protection.outlook.com -all,60690,IS-NETHONNUN,,,,,,,Microsoft 365,Local (.is),Other,,,,No redirect
Miðstöð íslenskra bókmennta,Icelandic Literature Center,,,https://www.islit.is/,islit.is,,,0,,islit-is.mail.protection.outlook.com,ns1.simnet.is; ns2.simnet.is; ns3.simnet.is,52.209.81.188; 52.48.55.82,v=spf1 include:spf.protection.outlook.com include:smtp.hugsmidjan.is -all,16509,AMAZON-DUB,,,,,,,Microsoft 365,Local (.is),AWS,,,,No redirect
Listasafn Einars Jónssonar,The Einar Jónsson Museum,,,https://lej.is/,lej.is,,,0,,lej-is.mail.protection.outlook.com,ns0.c.is; ns1.c.is; ns2.c.is,185.174.176.227,v=spf1 include:spf.protection.outlook.com -all,206842,Tactica-net,,,,,,,Microsoft 365,Local (.is),Other,,,,No redirect
Listasafn Íslands,National Gallery of Iceland,,,https://www.listasafn.is/,listasafn.is,,,0,,listasafn-is.mail.protection.outlook.com,adelaide.ns.cloudflare.com; elliott.ns.cloudflare.com,76.76.21.21,v=spf1 include:spf.protection.outlook.com include:_spf.createsend.com ip4:80.248.30.97 ip4:217.28.176.106/31 -all,16509,VERCEL-01,,,,,,,Microsoft 365,Cloudflare,Vercel,,,,No redirect
Landsbókasafn Íslands - Háskólabókasafn,National and University Library of Iceland,,,https://landsbokasafn.is/,landsbokasafn.is,,,0,,landsbokasafn-is.mail.protection.outlook.com,dvalinn.rhnet.is; lbsns1.landsbokasafn.is; lbsns2.landsbokasafn.is,130.208.54.33,v=spf1 ip4:130.208.54.0/25 ip4:130.208.53.0/24 ip4:130.208.52.0/25 ip4:130.208.54.193 include:spf.protection.outlook.com include:spf.emailsignatures365.com -all,15474,RHnet-NAUL-B,,,,,,,Microsoft 365,Local (.is),Local (.is),,,,No redirect
Kvikmyndasafn Íslands,National Film Archive of Iceland,,,https://kvikmyndasafn.is/,kvikmyndasafn.is,,,0,,kvikmyndasafn-is.mail.protection.outlook.com,ns1.thekking.is; ns2.thekking.is; ns4.thekking.is,136.244.83.112,v=spf1 MX include:_spf.techsupport.is include:google.com include:spf.protection.outlook.com ip4:176.10.37.237/30 -all,20473,NET-136-244-82-0-23,,,,,,,Microsoft 365,Local (.is),Other,,,,No redirect
Kvikmyndamiðstöð Íslands,Icelandic Film Centre,,,http://www.kvikmyndamidstod.is/,kvikmyndamidstod.is,,,1,308,kvikmyndamidstod-is.mail.protection.outlook.com,adelaide.ns.cloudflare.com; elliott.ns.cloudflare.com,216.150.1.1,v=spf1 +a +mx +ip4:217.28.176.106 +ip4:217.28.176.107 include:_spf.thekking.is include:spf.protection.outlook.com include:_spf.gopro.net ~all,16509,VERCEL-09,,,,,,,Microsoft 365,Cloudflare,Vercel,,,,No redirect
Jafnréttisstofa,The Centre for Gender Equality,,,https://www.jafnretti.is/,jafnretti.is,,,0,,jafnretti-is.mail.protection.outlook.com,a.hysing.is; b.hysing.is; c.hysing.is,54.76.32.59,v=spf1 ip4:212.30.232.51 include:_spf.email.stefna.is include:spf.protection.outlook.com -all,16509,AMAZON-2011L,,,,,,,Microsoft 365,Local (.is),AWS,,,,No redirect
Íslenski dansflokkurinn,Iceland Dance Company,,,http://id.is/is/,id.is,,,2,301; 301,id-is.mail.protection.outlook.com,ns1.xnet.is; ns2.xnet.is,217.9.143.94,v=spf1 include:spf.protection.outlook.com -all,12969,IS-XNET,,,,,,,Microsoft 365,Local (.is),Other,,,,No redirect
Húsnæðis- og mannvirkjastofnun,Housing & Construction Authority,,,https://www.hms.is/,hms.is,,,0,,hms-is.mail.protection.outlook.com,ns1-09.azure-dns.com; ns2-09.azure-dns.net; ns3-09.azure-dns.org; ns4-09.azure-dns.info,76.76.21.142,"v=spf1 a:postur.ils.is include:spf.protection.outlook.com include:eu.rp.oracleemaildelivery.com include:_spf.atlassian.net include:_spf.gopro.net include:servers.mcsv.net include:eig.spf.a.cloudfilter.net include:stspg-customer.com include:mail.zendesk.co"" ""m -all",16509,VERCEL-01,,,,,,,Microsoft 365,Azure,Vercel,,,,No redirect
Gljúfrasteinn: hús skáldsins,Gljúfrasteinn,,,http://gljufrasteinn.is/,gljufrasteinn.is,,,1,301,gljufrasteinn-is.mail.protection.outlook.com,ns0.1984.is; ns1.1984.is; ns2.1984.is,185.112.145.181,v=spf1 include:spf.protection.outlook.com include:_spf.zenter.is -all,44925,THE-1984-CLOUD,,,,,,,Microsoft 365,Local (.is),Local (.is),,,,No redirect
Fjölmiðlanefnd,Media Commission,,,https://fjolmidlanefnd.is/,fjolmidlanefnd.is,,,0,,fjolmidlanefnd-is.mail.protection.outlook.com,ns1.okhysing.is; ns2.okhysing.is,185.174.176.24,v=spf1 include:spf.hysingar.is include:spf.protection.outlook.com -all,206842,Tactica-net,,,,,,,Microsoft 365,Local (.is),Other,,,,No redirect
Ferðamálastofa,Icelandic Tourist Board,,,https://www.ferdamalastofa.is/,ferdamalastofa.is,,,0,,ferdamalastofa-is.mail.protection.outlook.com,ns1.thekking.is; ns2.thekking.is,52.49.138.181,v=spf1 a a:m-out2.thekking.is a:m-out1.thekking.is include:_spf.thekking.is include:spf.protection.outlook.com include:_spf.email.stefna.is include:servers.mcsv.net ip4:157.157.61.63 ~all,16509,AMAZON-DUB,,,,,,,Microsoft 365,Local (.is),AWS,,,,No redirect
Atvinnuvegaráðuneyti,Ministry of Industries,,,https://www.stjornarradid.is/raduneyti/atvinnuvegaraduneytid/,stjornarradid.is,,,0,,funi.stjr.is; neisti.stjr.is,adel.ns.cloudflare.com; wesley.ns.cloudflare.com,8.47.69.2; 8.6.112.2,v=spf1 mx include:spf.protection.outlook.com -all,13335,LPL-141-CLOUD14-8-47-69,,,,,,,Microsoft 365,Cloudflare,Other,,,,No redirect
Árnastofnun,The Árni Magnússon Institute for Icelandic Studies,,,https://arnastofnun.is/is,arnastofnun.is,,,0,,arnastofnun-is.mail.protection.outlook.com,borg.rhi.hi.is; info.rhi.hi.is,62.113.234.7,v=spf1 a ptr ip4:130.208.0.0/16 ip6:2a00:c88:4000::/40 include:spf.protection.outlook.com -all,47447,DE-ROBHOST-20150513,,,,,,,Microsoft 365,Local (.is),Other,,,,No redirect
Fiskistofa,The Directorate of Fisheries,,,http://www.fiskistofa.is/,fiskistofa.is,https://island.is/s/fiskistofa,island.is,2,301; 302,publicadministrationis.mail.protection.outlook.com,ns1-06.azure-dns.com; ns2-06.azure-dns.net; ns3-06.azure-dns.org; ns4-06.azure-dns.info,217.171.222.5,v=spf1 ip4:217.171.222.2 ip4:217.170.208.14 include:spf.protection.outlook.com include:_spf.zenter.is -all,12969,IS-WISE-20040831,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509.0,AMAZO-ZL4,Microsoft 365,Azure,Other,Microsoft 365,AWS,Other,Internal .is redirect
Fjarskiptastofa,Post and Telecom Administration in Iceland,,,https://pfs.is/,pfs.is,https://www.fjarskiptastofa.is/,fjarskiptastofa.is,1,301,pfs-is.mail.protection.outlook.com,a.hysing.is; b.hysing.is; c.hysing.is,82.221.64.46,v=spf1 include:spf.protection.outlook.com include:spfa.cpmails.com ip4:82.221.59.5 -all,44515,F5-v4-1,fjarskiptastofa-is.mail.protection.outlook.com,a.hysing.is; b.hysing.is; c.hysing.is,82.221.64.168,"v=spf1 include:spf.protection.outlook.com include:spfa.cpmails.com include:spf.hysing.is ip4:82.221.59.5 mx include:_spf"" "".gopro.net -all",44515.0,F5-v4-1,Microsoft 365,Local (.is),Other,Microsoft 365,Local (.is),Other,Internal .is redirect
Dómstólar,The Courts,,,https://island.is/s/domstolar,island.is,,,0,,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509,AMAZO-ZL4,,,,,,,Microsoft 365,AWS,Other,,,,No redirect
Endurupptökudómur,The Court on Reopening of cases,,,https://endurupptokudomur.is/,endurupptokudomur.is,,,0,,,ns0.vist.is; ns1.vist.is; ns2.vist.is,82.221.64.168,,44515,F5-v4-1,,,,,,,Unknown,Local (.is),Other,,,,No redirect
Skrifstofa fjármálagreininga lögreglu,Financial Intelligence Unit,,,https://island.is/v/skrifstofa-fjarmalagreininga-loegreglu,island.is,,,0,,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509,AMAZO-ZL4,,,,,,,Microsoft 365,AWS,Other,,,,No redirect
Stafrænt Ísland,Digital Iceland,,,https://island.is/adstod,island.is,,,0,,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509,AMAZO-ZL4,,,,,,,Microsoft 365,AWS,Other,,,,No redirect
Heilsugæsla höfuðborgarsvæðisins,Primary Health Care of the Capital Area,,,https://www.heilsugaeslan.is/,heilsugaeslan.is,,,0,,heilsugaeslan-is.mail.protection.outlook.com,ns0.c.is; ns1.c.is; ns2.c.is,82.221.64.168,v=spf1 ip4:194.144.162.80 ip4:194.144.162.65 include:spf.protection.outlook.com include:spf.hysing.is  -all,44515,F5-v4-1,,,,,,,Microsoft 365,Local (.is),Other,,,,No redirect
Borgarholtsskóli,Borgarholtsskóli - Comprehensive Secondary School,,,https://www.bhs.is/,bhs.is,,,0,,bhs-is.mail.protection.outlook.com,ns1.okhysing.is; ns2.okhysing.is,76.76.21.21,v=spf1 mx ip4:176.10.34.50 ip4:176.10.34.51 ip4:176.10.35.184 include:spf.protection.outlook.com include:inna.is ~all,16509,VERCEL-01,,,,,,,Microsoft 365,Local (.is),Vercel,,,,No redirect
Múlaþing,Múlaþing,,,https://www.mulathing.is/,mulathing.is,,,0,,mulathing-is.mail.protection.outlook.com,ns1.thekking.is; ns2.thekking.is,52.49.138.181,v=spf1 ip4:217.28.176.90 ip4:217.171.217.12 ip4:137.135.249.44 include:_spf.email.stefna.is include:spf-eu.exlibrisgroup.com include:spf.protection.outlook.com include:spf.hysing.is include:_spf.wise.is -all,16509,AMAZON-DUB,,,,,,,Microsoft 365,Local (.is),AWS,,,,No redirect
Persónuvernd,Data Protection Authority,,,https://www.personuvernd.is/,personuvernd.is,https://island.is:443/s/personuvernd,island.is,3,301; 308; 307,ns2.okhysing.is,ns1.okhysing.is; ns2.okhysing.is,34.251.144.192; 54.77.239.177; 63.32.127.239,v=spf1 mx ip4:176.57.227.254 a:smtp.hugsmidjan.is -all,16509,AMAZON-DUB,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509.0,AMAZO-ZL4,Local (.is),Local (.is),AWS,Microsoft 365,AWS,Other,Internal .is redirect
Skagafjörður,Sveitarfélagið Skagafjörður,,,https://www.skagafjordur.is/,skagafjordur.is,,,0,,skagafjordur-is.mail.protection.outlook.com,dell.netvistun.is; dell2.netvistun.is,52.49.138.181,v=spf1 mx ip4:40.112.93.190 ip4:194.105.232.0/24 ip4:79.171.96.117 ip4:157.157.101.81 ip4:137.135.249.44 include:smtp.wise.is include:_spf.email.stefna.is include:spf.hysing.is include:spf.protection.outlook.com -all,16509,AMAZON-DUB,,,,,,,Microsoft 365,Local (.is),AWS,,,,No redirect
Héraðsdómstólar,District Court of Iceland,,,https://www.heradsdomstolar.is/,heradsdomstolar.is,,,0,,mx01.skra.is,ns0.vist.is; ns1.vist.is; ns2.vist.is,82.221.64.168,v=spf1 include:_spf.vist.is ip4:217.171.209.5 ip4:217.171.209.24 ip4:217.171.208.174 ip4:217.171.209.7 include:smtp.thekking.is mx ~all,44515,F5-v4-1,,,,,,,Local (.is),Local (.is),Other,,,,No redirect
Hæstiréttur Íslands,Supreme Court of Iceland,,,https://www.haestirettur.is/,haestirettur.is,,,0,,haestirettur-is.mail.protection.outlook.com,ns0.vist.is; ns1.vist.is; ns2.vist.is,82.221.64.168,v=spf1 include:spf.protection.outlook.com include:_spf.vist.is -all,44515,F5-v4-1,,,,,,,Microsoft 365,Local (.is),Other,,,,No redirect
Landsréttur,Court of Appeal,,,https://landsrettur.is/,landsrettur.is,,,0,,landsrettur-is.mail.protection.outlook.com,ns0.vist.is; ns1.vist.is; ns2.vist.is,82.221.64.168,v=spf1 include:_spf.vist.is include:_spf.gopro.net include:spf.protection.outlook.com include:smtp.thekking.is ip4:217.171.208.174 mx ~all,44515,F5-v4-1,,,,,,,Microsoft 365,Local (.is),Other,,,,No redirect
Verkmenntaskólinn á Akureyri,Akureyri Comprehensive College,,,https://www.vma.is/,vma.is,,,0,,vma-is.mail.protection.outlook.com,a.hysing.is; b.hysing.is; c.hysing.is,52.49.138.181,v=spf1 include:_spf.google.com ip4:82.148.66.136 ip4:82.148.66.181 include:spf.inna.is include:_spf.samvirkni.is include:_spf.email.stefna.is include:spf.protection.outlook.com -all,16509,AMAZON-DUB,,,,,,,Microsoft 365,Local (.is),AWS,,,,No redirect
Miðstöð menntunar og skólaþjónustu,Directorate of Education and School Services,,,https://island.is/s/midstod-menntunar-og-skolathjonustu,island.is,,,0,,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509,AMAZO-ZL4,,,,,,,Microsoft 365,AWS,Other,,,,No redirect
Úrvinnslusjóður,Icelandic Recycling Fund,,,https://www.urvinnslusjodur.is/,urvinnslusjodur.is,,,0,,urvinnslusjodur-is.mail.protection.outlook.com,ns1.thekking.is; ns2.thekking.is; ns4.thekking.is,216.150.1.1,v=spf1 ip4:82.221.0.0/16 ip4:212.30.230.100/32 ip4:212.30.230.101/32 ip4:193.4.129.73 ip4:213.213.132.1 ip4:193.4.129.10 ip4:212.30.229.12 ip4:212.30.229.38 ip4:213.213.132.2 include:spf.protection.outlook.com -all,16509,VERCEL-09,,,,,,,Microsoft 365,Local (.is),Vercel,,,,No redirect
Húnaþing vestra,Húnaþing vestra,,,https://www.hunathing.is/,hunathing.is,,,0,,hunathing-is.mail.protection.outlook.com,a.hysing.is; b.hysing.is; c.hysing.is,52.19.46.82,v=spf1 include:spf.protection.outlook.com include:_spf.email.stefna.is ip4:137.135.249.44 -all,16509,AMAZON-DUB,,,,,,,Microsoft 365,Local (.is),AWS,,,,No redirect
Héraðssaksóknari,District Prosecutor,,,https://www.hersak.is/,hersak.is,https://island.is:443/s/heradssaksoknari,island.is,3,301; 308; 307,mx1.tmd.is; mx2.tmd.is,ns1.simnet.is; ns2.simnet.is; ns3.simnet.is,34.251.144.192; 54.77.239.177; 63.32.127.239,v=spf1 mx include:spf.protection.outlook.com -all,16509,AMAZON-DUB,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509.0,AMAZO-ZL4,Microsoft 365,Local (.is),AWS,Microsoft 365,AWS,Other,Internal .is redirect
Barna- og fjölskyldustofa,The National Agency for Children and Families,,,http://www.bofs.is/,bofs.is,https://island.is:443/s/bofs,island.is,3,301; 308; 307,bofs-is.mail.protection.outlook.com,a.hysing.is; b.hysing.is; c.hysing.is,34.251.144.192; 54.77.239.177; 63.32.127.239,v=spf1 mx a:smtp.hugsmidjan.is include:spf.hysing.is ip4:82.221.62.19 include:smtp.thekking.is ip4:217.171.209.2 ip4:213.176.128.0/24 ip4:193.4.194.0/24 a:smtp.c.is include:spf.protection.outlook.com include:_spf.gopro.net -all,16509,AMAZON-DUB,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509.0,AMAZO-ZL4,Microsoft 365,Local (.is),AWS,Microsoft 365,AWS,Other,Internal .is redirect
Sýslumenn,District Commissioners,,,https://island.is/s/syslumenn,island.is,,,0,,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509,AMAZO-ZL4,,,,,,,Microsoft 365,AWS,Other,,,,No redirect
Sjúkratryggingar,Iceland Health,,,https://island.is/s/sjukratryggingar,island.is,,,0,,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509,AMAZO-ZL4,,,,,,,Microsoft 365,AWS,Other,,,,No redirect
Sjúkrahúsið á Akureyri,Akureyri Hospital,,,https://www.sak.is/,sak.is,https://island.is:443/s/sak,island.is,1,301,sak-is.mail.protection.outlook.com,dvalinn.rhnet.is; ns1.stefna.is; ns2.stefna.is; ns3.stefna.is,34.251.144.192; 54.77.239.177; 63.32.127.239,v=spf1 ip4:130.208.218.0/24 include:spf.hysing.is include:_spf.email.stefna.is include:spf.protection.outlook.com -all,16509,AMAZON-DUB,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509.0,AMAZO-ZL4,Microsoft 365,Local (.is),AWS,Microsoft 365,AWS,Other,Internal .is redirect
Embætti landlæknis,Directorate of Health,,,http://www.landlaeknir.is,landlaeknir.is,https://island.is:443/s/landlaeknir,island.is,1,301,spamvorn.internet.is,ns0.vist.is; ns1.vist.is; ns2.vist.is,34.251.144.192; 54.77.239.177; 63.32.127.239,v=spf1 include:_spf.landlaeknir.is include:spf.protection.outlook.com ip4:80.248.29.165 ip4:80.248.29.142 -all,16509,AMAZON-DUB,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509.0,AMAZO-ZL4,Microsoft 365,Local (.is),AWS,Microsoft 365,AWS,Other,Internal .is redirect
