name_icelandic,name_english,tag_icelandic,tag_english,url,domain,final_url,final_domain,redirect_count,redirect_codes,mx,spf,mx_asn,mx_org,mx_country,spf_asn,spf_org,spf_country,ns,dns_asn,dns_org,dns_country,a,hosting_asn,hosting_org,hosting_country,final_mx,final_spf,final_mx_asn,final_mx_org,final_mx_country,final_spf_asn,final_spf_org,final_spf_country,final_ns,final_dns_asn,final_dns_org,final_dns_country,final_a,final_hosting_asn,final_hosting_org,final_hosting_country,email_provider,dns_category,hosting_category,final_email_provider,final_dns_category,final_hosting_category,redirect_status,effective_email_provider,email_disclaimer,email_disclaimer_text,effective_dns_category,dns_disclaimer,dns_disclaimer_text,effective_hosting_category,hosting_disclaimer,hosting_disclaimer_text
Tryggingastofnun,Social Insurance Administration,Félags- og húsnæðismálaráðuneyti,Ministry of Social Affairs and Housing,https://www.tr.is/,tr.is,https://island.is:443/s/tryggingastofnun,island.is,3,301; 308; 307,tr-is.mail.protection.outlook.com,v=spf1 a:freyr.tr.is ip4:212.30.215.10 ip4:212.30.215.6 ip4:212.30.215.49 ip4:212.30.215.42 mx:tr.is include:spf.protection.outlook.com include:_spf.zenter.is -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns1.simnet.is; ns2.simnet.is; ns3.simnet.is; sigyn.tr.is,6677,MILAHF-MNT,IS,34.251.144.192; 54.77.239.177; 63.32.127.239,16509,Amazon Data Services Ireland Limited,US,island-is.mail.protection.outlook.com,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,16509.0,Amazon Data Services Northern Virginia,US,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,16509.0,"Amazon.com, Inc.",US,Microsoft 365,Local (.is),AWS,Microsoft 365,AWS,AWS,Internal .is redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,AWS,True,"Original domain used Local (.is), but redirect target uses AWS.",AWS,True,AWS is used on both domains.
Mannréttindastofnun Íslands,Icelandic Human Rights Institute,Félags- og húsnæðismálaráðuneyti,Ministry of Social Affairs and Housing,https://mannrettindi.is/,mannrettindi.is,,,0,,mannrettindi-is.mail.protection.outlook.com,v=spf1 include:spf.protection.outlook.com -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ajay.ns.cloudflare.com; harlee.ns.cloudflare.com,13335,"Cloudflare, Inc.",US,104.21.25.118; 172.67.134.52,13335,"Cloudflare, Inc.",US,,,,,,,,,,,,,,,,,Microsoft 365,Cloudflare,Cloudflare,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Cloudflare,False,,Cloudflare,False,
Hvalfjarðarsveit,Hvalfjörður Region,Sveitarfélög,Municipalities,https://www.hvalfjardarsveit.is/,hvalfjardarsveit.is,,,0,,hvalfjardarsveit-is.mail.protection.outlook.com,v=spf1 include:spf.protection.outlook.com ip4:213.167.147.220 ip4:185.27.36.87 include:_spf.email.stefna.is -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns0.1984.is; ns1.1984.is; ns1.1984hosting.com; ns2.1984.is; ns2.1984hosting.com,20473,"Vultr Holdings, LLC",US,52.19.46.82,16509,Amazon Data Services Ireland Limited,US,,,,,,,,,,,,,,,,,Microsoft 365,Other US,AWS,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Other US,False,,AWS,False,
Stjórnarráð Íslands,Government of Iceland,Æðsta stjórn ríkisins,Government of the State,https://www.stjornarradid.is/,stjornarradid.is,,,0,,funi.stjr.is; neisti.stjr.is,v=spf1 mx include:spf.protection.outlook.com -all,206010.0,is-rfs-1-mnt,IS,8075.0,Microsoft Corporation,US,adel.ns.cloudflare.com; wesley.ns.cloudflare.com,13335,"Cloudflare, Inc.",US,8.47.69.2; 8.6.112.2,13335,"Cloudflare, Inc.",US,,,,,,,,,,,,,,,,,Microsoft 365,Cloudflare,Cloudflare,,,,No redirect,Microsoft 365,True,SPF includes Microsoft 365 for sending. MX points elsewhere.,Cloudflare,False,,Cloudflare,False,
Alþingi,Parliament,Æðsta stjórn ríkisins,Government of the State,https://www.althingi.is/,althingi.is,,,0,,althingi-is.mail.protection.outlook.com,v=spf1 a:al-ex-01.althingi.is include:spf.protection.outlook.com include:servers.mcsv.net include:_spf.vist.is -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ajay.ns.cloudflare.com; harlee.ns.cloudflare.com,13335,"Cloudflare, Inc.",US,8.47.69.2; 8.6.112.2,13335,"Cloudflare, Inc.",US,,,,,,,,,,,,,,,,,Microsoft 365,Cloudflare,Cloudflare,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Cloudflare,False,,Cloudflare,False,
Umbra - þjónustumiðstöð Stjórnarráðsins,Umbra - Government Offices Services,Fjármála- og efnahagsráðuneytið,Ministry of Finance and Economic Affairs,https://www.stjornarradid.is/raduneyti/umbra/,stjornarradid.is,,,0,,funi.stjr.is; neisti.stjr.is,v=spf1 mx include:spf.protection.outlook.com -all,206010.0,is-rfs-1-mnt,IS,8075.0,Microsoft Corporation,US,adel.ns.cloudflare.com; wesley.ns.cloudflare.com,13335,"Cloudflare, Inc.",US,8.47.69.2; 8.6.112.2,13335,"Cloudflare, Inc.",US,,,,,,,,,,,,,,,,,Microsoft 365,Cloudflare,Cloudflare,,,,No redirect,Microsoft 365,True,SPF includes Microsoft 365 for sending. MX points elsewhere.,Cloudflare,False,,Cloudflare,False,
"Menningar-, háskóla- og nýsköpunarráðuneyti","Ministry of Culture, Innovation and Higher Education","Menningar-, nýsköpunar- og háskólaráðuneyti","Ministry of Culture, Innovation and Higher Education",https://www.stjornarradid.is/raduneyti/menningar-nyskopunar-og-haskolaraduneytid/,stjornarradid.is,,,0,,funi.stjr.is; neisti.stjr.is,v=spf1 mx include:spf.protection.outlook.com -all,206010.0,is-rfs-1-mnt,IS,8075.0,Microsoft Corporation,US,adel.ns.cloudflare.com; wesley.ns.cloudflare.com,13335,"Cloudflare, Inc.",US,8.47.69.2; 8.6.112.2,13335,"Cloudflare, Inc.",US,,,,,,,,,,,,,,,,,Microsoft 365,Cloudflare,Cloudflare,,,,No redirect,Microsoft 365,True,SPF includes Microsoft 365 for sending. MX points elsewhere.,Cloudflare,False,,Cloudflare,False,
Samskiptamiðstöð heyrnarlausra og heyrnarskertra,The Communication Center for the Deaf and Hard of Hearing,"Menningar-, nýsköpunar- og háskólaráðuneyti","Ministry of Culture, Innovation and Higher Education",https://shh.is/,shh.is,https://island.is:443/s/shh,island.is,3,301; 308; 307,shh-is.mail.protection.outlook.com,v=spf1 include:spf.protection.outlook.com a:mx0.premis.is a:mx1.premis.is a:mx2.premis.is include:mail.zendesk.com -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,a.nethonnun.is; b.nethonnun.is; c.nethonnun.is; d.nethonnun.is,60690,NHNET-MNT,IS,34.251.144.192; 54.77.239.177; 63.32.127.239,16509,Amazon Data Services Ireland Limited,US,island-is.mail.protection.outlook.com,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,16509.0,Amazon Data Services Northern Virginia,US,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,16509.0,"Amazon.com, Inc.",US,Microsoft 365,Local (.is),AWS,Microsoft 365,AWS,AWS,Internal .is redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,AWS,True,"Original domain used Local (.is), but redirect target uses AWS.",AWS,True,AWS is used on both domains.
Fjársýslan,The Financial Management Authority,Fjármála- og efnahagsráðuneytið,Ministry of Finance and Economic Affairs,https://island.is/s/fjarsyslan,island.is,,,0,,island-is.mail.protection.outlook.com,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,16509,Amazon Data Services Northern Virginia,US,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,16509,"Amazon.com, Inc.",US,,,,,,,,,,,,,,,,,Microsoft 365,AWS,AWS,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,AWS,False,,AWS,False,
Skatturinn,Iceland Revenue and Customs,Fjármála- og efnahagsráðuneytið,Ministry of Finance and Economic Affairs,https://www.skatturinn.is/,skatturinn.is,,,0,,mx00.skattur.is; mx01.skattur.is; mx02.skattur.is,v=spf1 ip4:172.29.100.54 include:spf.hysing.is include:_spf.zenter.is include:spf.protection.outlook.com include:spf.rsk.is -all,44515.0,MNT-ADVANIA,IS,8075.0,Microsoft Corporation,US,a.hysing.is; b.hysing.is; c.hysing.is,44515,MNT-ADVANIA,IS,82.221.67.23,44515,MNT-ADVANIA,IS,,,,,,,,,,,,,,,,,Microsoft 365,Local (.is),Local (.is),,,,No redirect,Microsoft 365,True,SPF includes Microsoft 365 for sending. MX points elsewhere.,Local (.is),False,,Local (.is),False,
Umboðsmaður skuldara,The Debtors' Ombudsman,Félags- og húsnæðismálaráðuneyti,Ministry of Social Affairs and Housing,https://www.ums.is/,ums.is,https://island.is:443/s/umbodsmadur-skuldara,island.is,3,301; 308; 307,ums-is.mail.protection.outlook.com,v=spf1  ip4:217.171.208.157 include:_spf.email.stefna.is ip4:217.171.208.145 include:spf.protection.outlook.com -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns1.thekking.is; ns2.thekking.is; ns4.thekking.is,12969,VFIS-NET-MNT,IS,34.251.144.192; 54.77.239.177; 63.32.127.239,16509,Amazon Data Services Ireland Limited,US,island-is.mail.protection.outlook.com,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,16509.0,Amazon Data Services Northern Virginia,US,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,16509.0,"Amazon.com, Inc.",US,Microsoft 365,Local (.is),AWS,Microsoft 365,AWS,AWS,Internal .is redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,AWS,True,"Original domain used Local (.is), but redirect target uses AWS.",AWS,True,AWS is used on both domains.
Náttúrufræðistofnun,Icelandic Institute of Natural History,"Umhverfis-, orku- og loftslagsráðuneytið","Ministry of the Environment, Energy and Climate",https://www.ni.is/,ni.is,https://www.natt.is/is,natt.is,3,302; 301; 301,ni-is.mail.protection.outlook.com,v=spf1 ip4:79.171.97.157 a:m-out1.thekking.is a:smtp.thekking.is include:spf.protection.outlook.com include:_spf.gopro.net include:_spf.vist.is -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,pns101.cloudns.net; pns102.cloudns.net; pns103.cloudns.net; pns104.cloudns.net,203391,bg-cloud-1-mnt,BG,151.101.131.52; 151.101.195.52; 151.101.3.52; 151.101.67.52; 151.139.128.10,54113,"Fastly, Inc.",US,natt-is.mail.protection.outlook.com,v=spf1 include:spf.protection.outlook.com include:_spf.gopro.net include:_spf.vist.is a:m-out1.thekking.is a:smtp.thekking.is ip4:178.19.53.124 -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,pns101.cloudns.net; pns102.cloudns.net; pns103.cloudns.net; pns104.cloudns.net,203391.0,bg-cloud-1-mnt,BG,178.19.53.124,44735.0,NOVAIS-MNT,IS,Microsoft 365,Other,Other US,Microsoft 365,Other,Local (.is),Internal .is redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Other,True,Other is used on both domains.,Local (.is),True,"Original domain used Other US, but redirect target uses Local (.is)."
Ráðgjafar- og greiningarstöð,The Counseling and Diagnostic Center,Mennta- og barnamálaráðuneytið,Ministry of Education and Children,https://www.rgr.is,rgr.is,,,0,,rgr-is.mail.protection.outlook.com,v=spf1 include:spf.protection.outlook.com include:_spf.email.stefna.is ip4:194.144.19.182 -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns0.c.is; ns1.c.is; ns2.c.is,12969,VFIS-NET-MNT,IS,52.49.138.181,16509,Amazon Data Services Ireland Limited,US,,,,,,,,,,,,,,,,,Microsoft 365,Local (.is),AWS,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Local (.is),False,,AWS,False,
CERT-IS,CERT-IS,Forsætisráðuneytið,Ministry for Foreign Affairs,https://cert.is/,cert.is,,,0,,charon.cert.is; styx.cert.is,v=spf1 include:_spf.cert.is include:spf.protection.outlook.com mx -all,6677.0,MILAHF-MNT,IS,8075.0,Microsoft Corporation,US,anita.ns.cloudflare.com; sean.ns.cloudflare.com,13335,"Cloudflare, Inc.",US,8.47.69.2; 8.6.112.2,13335,"Cloudflare, Inc.",US,,,,,,,,,,,,,,,,,Microsoft 365,Cloudflare,Cloudflare,,,,No redirect,Microsoft 365,True,SPF includes Microsoft 365 for sending. MX points elsewhere.,Cloudflare,False,,Cloudflare,False,
Náttúruverndarstofnun,Nature Conservation Agency of Iceland,"Umhverfis-, orku- og loftslagsráðuneytið","Ministry of the Environment, Energy and Climate",https://www.nattura.is/,nattura.is,,,0,,nattura-is.mail.protection.outlook.com,v=spf1 +a +mx +ip4:178.248.20.131 include:spf.protection.outlook.com include:_spf.gopro.net ip4:93.95.74.93 ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,dell.netvistun.is; dell2.netvistun.is,60690,NHNET-MNT,IS,216.198.79.1,16509,"Vercel, Inc",US,,,,,,,,,,,,,,,,,Microsoft 365,Local (.is),Other US,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Local (.is),False,,Other US,False,
Sjónstöðin,"The National Institute for the Blind, Visually Impaired, and Deafblind",Félags- og húsnæðismálaráðuneyti,Ministry of Social Affairs and Housing,https://www.midstod.is/,midstod.is,https://island.is:443/s/sjonstodin,island.is,3,301; 308; 307,midstod-is.mail.protection.outlook.com,v=spf1 include:spf.protection.outlook.com -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1394.awsdns-46.org; ns-1917.awsdns-47.co.uk; ns-330.awsdns-41.com; ns-746.awsdns-29.net,16509,Amazon Data Services Northern Virginia,US,34.251.144.192; 54.77.239.177; 63.32.127.239,16509,Amazon Data Services Ireland Limited,US,island-is.mail.protection.outlook.com,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,16509.0,Amazon Data Services Northern Virginia,US,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,16509.0,"Amazon.com, Inc.",US,Microsoft 365,AWS,AWS,Microsoft 365,AWS,AWS,Internal .is redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,AWS,True,AWS is used on both domains.,AWS,True,AWS is used on both domains.
Útlendingastofnun,Directorate of Immigration,Dómsmálaráðuneytið,Ministry of Justice,https://utl.is/,utl.is,https://island.is:443/s/utlendingastofnun,island.is,1,301,mx1.tmd.is; mx2.tmd.is,v=spf1 mx include:spf.protection.outlook.com -all,6677.0,MILAHF-MNT,IS,8075.0,Microsoft Corporation,US,ns1.simnet.is; ns2.simnet.is; ns3.simnet.is,6677,MILAHF-MNT,IS,34.251.144.192; 54.77.239.177; 63.32.127.239,16509,Amazon Data Services Ireland Limited,US,island-is.mail.protection.outlook.com,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,16509.0,Amazon Data Services Northern Virginia,US,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,16509.0,"Amazon.com, Inc.",US,Microsoft 365,Local (.is),AWS,Microsoft 365,AWS,AWS,Internal .is redirect,Microsoft 365,True,SPF includes Microsoft 365 for sending. MX points elsewhere.,AWS,True,"Original domain used Local (.is), but redirect target uses AWS.",AWS,True,AWS is used on both domains.
Félags- og  húsnæðismálaráðuneytið,Ministry of Social Affairs and Housing,Félags- og húsnæðismálaráðuneyti,Ministry of Social Affairs and Housing,https://www.stjornarradid.is/raduneyti/felags-og-husnaedismalaraduneytid/,stjornarradid.is,,,0,,funi.stjr.is; neisti.stjr.is,v=spf1 mx include:spf.protection.outlook.com -all,206010.0,is-rfs-1-mnt,IS,8075.0,Microsoft Corporation,US,adel.ns.cloudflare.com; wesley.ns.cloudflare.com,13335,"Cloudflare, Inc.",US,8.47.69.2; 8.6.112.2,13335,"Cloudflare, Inc.",US,,,,,,,,,,,,,,,,,Microsoft 365,Cloudflare,Cloudflare,,,,No redirect,Microsoft 365,True,SPF includes Microsoft 365 for sending. MX points elsewhere.,Cloudflare,False,,Cloudflare,False,
Hljóðbókasafn Íslands,The Icelandic National Audio Library,"Menningar-, nýsköpunar- og háskólaráðuneyti","Ministry of Culture, Innovation and Higher Education",https://hbs.is/,hbs.is,,,0,,hbs-is.mail.protection.outlook.com,v=spf1 a:smtp.hbs.is ip4:94.142.152.5 a:smtp.okhysing.is ip4:176.10.36.210 ip4:178.19.58.133 include:spf.protection.outlook.com -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns1.okhysing.is; ns2.okhysing.is,48685,MNT-OK,IS,176.10.36.178,48685,MNT-OK,IS,,,,,,,,,,,,,,,,,Microsoft 365,Local (.is),Local (.is),,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Local (.is),False,,Local (.is),False,
Þjóðgarðurinn á Þingvöllum,Thingvellir National Park,Forsætisráðuneytið,Prime Minister's Office,https://www.thingvellir.is/,thingvellir.is,,,0,,thingvellir-is.mail.protection.outlook.com,v=spf1 include:spf.protection.outlook.com include:amazonses.com -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns0.1984.is; ns1.1984.is; ns1.1984hosting.com; ns2.1984.is; ns2.1984hosting.com,20473,"Vultr Holdings, LLC",US,20.50.64.22,8075,Microsoft Corporation,US,,,,,,,,,,,,,,,,,Microsoft 365,Other US,Azure,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Other US,False,,Azure,False,
Neytendastofa,The Consumer Agency,Atvinnuvegaráðuneyti,Ministry of Industries,http://neytendastofa.is/,neytendastofa.is,,,1,301,neytendastofa-is.mail.protection.outlook.com,v=spf1 include:_spf.umsja.is include:spf.protection.outlook.com -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns01.t.is; ns02.t.is,29689,MNT-NYHERJI,IS,80.248.29.157,29689,MNT-NYHERJI,IS,,,,,,,,,,,,,,,,,Microsoft 365,Local (.is),Local (.is),,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Local (.is),False,,Local (.is),False,
Þjóðskrá,Registers Iceland,Dómsmálaráðuneytið,Ministry of Justice,https://www.skra.is/,skra.is,,,0,,skra-is.mail.protection.outlook.com,v=spf1 a ip4:157.157.58.106 ip4:128.140.236.254  ip4:128.140.233.112 ip4:128.140.233.111 ip4:159.183.79.118 include:sendgrid.net  include:servers.mcsv.net include:spf.protection.outlook.com -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns01.skra.is; ns02.skra.is; ns03.skra.is,197973,JS50437-MNT,IS,128.140.238.8,197973,Registers Iceland,IS,,,,,,,,,,,,,,,,,Microsoft 365,Local (.is),Local (.is),,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Local (.is),False,,Local (.is),False,
Skipulagsstofnun,National Planning Agency,Félags- og húsnæðismálaráðuneyti,Ministry of Social Affairs and Housing,https://www.skipulag.is/,skipulag.is,https://island.is:443/s/skipulagsstofnun,island.is,3,301; 308; 307,skipulag-is.mail.protection.outlook.com,v=spf1 ip4:94.142.153.198 ip4:94.142.152.5 include:spf.protection.outlook.com include:smtp.hugsmidjan.is include:skipulagsstofnun.is -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns1.okhysing.is; ns2.okhysing.is,48685,MNT-OK,IS,34.251.144.192; 54.77.239.177; 63.32.127.239,16509,Amazon Data Services Ireland Limited,US,island-is.mail.protection.outlook.com,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,16509.0,Amazon Data Services Northern Virginia,US,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,16509.0,"Amazon.com, Inc.",US,Microsoft 365,Local (.is),AWS,Microsoft 365,AWS,AWS,Internal .is redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,AWS,True,"Original domain used Local (.is), but redirect target uses AWS.",AWS,True,AWS is used on both domains.
Hafrannsóknastofnun: rannsókna- og ráðgjafarstofnun hafs og vatna,Marine and Freshwater Research Institute,Atvinnuvegaráðuneyti,Ministry of Industries,https://www.hafogvatn.is/,hafogvatn.is,,,0,,publicadministrationis.mail.protection.outlook.com,v=spf1 ip4:130.208.64.48 include:spf.protection.outlook.com include:_spf.email.stefna.is -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,dvalinn.rhnet.is; hafdjup.hafro.is; hafgarpur.hafro.is; hafsjor.hafro.is,15474,Rannsokna- og haskolanet Islands hf.,IS,52.49.138.181,16509,Amazon Data Services Ireland Limited,US,,,,,,,,,,,,,,,,,Microsoft 365,Local (.is),AWS,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Local (.is),False,,AWS,False,
Þjóðskjalasafn Íslands,National Archives of Iceland,"Menningar-, nýsköpunar- og háskólaráðuneyti","Ministry of Culture, Innovation and Higher Education",https://skjalasafn.is/,skjalasafn.is,https://island.is/s/thjodskjalasafn,island.is,1,301,skjalasafn-is.mail.protection.outlook.com,v=spf1 a include:spf.protection.outlook.com include:spf.hysing.is -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,hazel.ns.cloudflare.com; nolan.ns.cloudflare.com,13335,"Cloudflare, Inc.",US,8.47.69.2; 8.6.112.2,13335,"Cloudflare, Inc.",US,island-is.mail.protection.outlook.com,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,16509.0,Amazon Data Services Northern Virginia,US,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,16509.0,"Amazon.com, Inc.",US,Microsoft 365,Cloudflare,Cloudflare,Microsoft 365,AWS,AWS,Internal .is redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,AWS,True,"Original domain used Cloudflare, but redirect target uses AWS.",AWS,True,"Original domain used Cloudflare, but redirect target uses AWS."
Þjóðminjasafn Íslands,National Museum of Iceland,"Menningar-, nýsköpunar- og háskólaráðuneyti","Ministry of Culture, Innovation and Higher Education",https://www.thjodminjasafn.is/,thjodminjasafn.is,,,0,,thjodminjasafn-is.mail.protection.outlook.com,v=spf1 include:spf.protection.outlook.com include:spf.emailsignatures365.com include:mailgun.org -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns0.c.is; ns1.c.is; ns2.c.is,12969,VFIS-NET-MNT,IS,198.202.211.1,209242,"Webflow, Inc",US,,,,,,,,,,,,,,,,,Microsoft 365,Local (.is),Other US,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Local (.is),False,,Other US,False,
Þjóðleikhúsið,National Theatre of Iceland,"Menningar-, nýsköpunar- og háskólaráðuneyti","Ministry of Culture, Innovation and Higher Education",https://leikhusid.is/,leikhusid.is,,,0,,leikhusid-is.mail.protection.outlook.com,v=spf1 mx a:poston.manlink.net include:spf.protection.outlook.com include:_spf.vist.is include:mailgun.org include:spf.mandrillapp.com include:servers.mcsv.net include:_spf.smtp.com include:spf.surveymonkey.com -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,adelaide.ns.cloudflare.com; elliott.ns.cloudflare.com,13335,"Cloudflare, Inc.",US,64.227.41.12,14061,"DigitalOcean, LLC",US,,,,,,,,,,,,,,,,,Microsoft 365,Cloudflare,DigitalOcean,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Cloudflare,False,,DigitalOcean,False,
Sinfóníuhljómsveit Íslands,Iceland Symphony,"Menningar-, nýsköpunar- og háskólaráðuneyti","Ministry of Culture, Innovation and Higher Education",https://www.sinfonia.is/,sinfonia.is,,,0,,sinfonia-is.mail.protection.outlook.com,v=spf1 include:spf.protection.outlook.com ip4:217.28.176.106/31 ip4:80.248.30.97 include:cmail1.com include:_spf.zenter.is include:_spf.hugsmidjan.is include:servers.mcsv.net -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns01.t.is; ns02.t.is,29689,MNT-NYHERJI,IS,52.209.81.188; 52.48.55.82,16509,Amazon Data Services Ireland Limited,US,,,,,,,,,,,,,,,,,Microsoft 365,Local (.is),AWS,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Local (.is),False,,AWS,False,
Samkeppniseftirlitið,Icelandic Competition Authority,Atvinnuvegaráðuneyti,Ministry of Industries,https://www.samkeppni.is/,samkeppni.is,,,0,,samkeppni-is.mail.protection.outlook.com,v=spf1 include:smtp.thekking.is ip4:213.220.104.138 include:_spf.hugsmidjan.is include:spf.protection.outlook.com -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1213.awsdns-23.org; ns-1945.awsdns-51.co.uk; ns-3.awsdns-00.com; ns-774.awsdns-32.net,16509,Amazon Data Services Northern Virginia,US,54.154.122.174,16509,Amazon Technologies Inc.,US,,,,,,,,,,,,,,,,,Microsoft 365,AWS,AWS,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,AWS,False,,AWS,False,
